,0
0,0.001871057349960875
1,0.002768069734009333
2,0.00432494125110147
3,0.005230151220906537
4,0.008736732609960676
5,0.011341891156819134
6,0.015544206970332024
7,0.020575028447670448
8,0.027908305483018783
9,0.03286745771474677
10,0.03652658935888435
11,0.04346531003058503
12,0.04908006800623561
13,0.05575018615240658
14,0.05966496096567832
15,0.06577533863509251
16,0.07261137266429907
17,0.0793787586187806
18,0.09076385430060724
19,0.0954760575067124
20,0.09781079738273818
21,0.1013734986727877
22,0.10710404939636232
23,0.10242179696352993
24,0.10568089420050607
25,0.10788962934799298
26,0.10913342297598905
27,0.1119582888123462
28,0.11252481227737966
29,0.11722055449813057
30,0.1141041563319207
31,0.11737857247442458
32,0.11726389581086605
33,0.12193909491689771
34,0.1283484313919431
35,0.1300903389642455
36,0.1337734603140935
37,0.1288368289724251
38,0.1248043469282172
39,0.12453145638185825
