,0
0,0.005208495132347882
1,0.008738224128059092
2,0.011394291842250347
3,0.015691821623860975
4,0.020967277548579615
5,0.026028690545005215
6,0.033609390051667354
7,0.04448442900657156
8,0.048688808772032334
9,0.057539460631731536
10,0.06872546225108524
11,0.08274635358640596
12,0.09617459972596488
13,0.11035210911907242
14,0.1236401448570255
15,0.13586830676234268
16,0.14075023670540918
17,0.1508103657267754
18,0.15898245441800843
19,0.16064079048618513
20,0.16548748542572814
21,0.16438117235613164
22,0.17406568915902168
23,0.17839559104514555
24,0.18215379629421063
25,0.18938968200627468
26,0.19048868142418984
27,0.19269509999268192
28,0.19301570447951438
29,0.19866945633089644
30,0.19939634042529328
31,0.20431099214189735
32,0.20375158235177318
33,0.20770659832503857
34,0.21010997243699672
35,0.2079279613701302
36,0.20864244656353986
37,0.20725183731999877
38,0.20299152884837052
39,0.1988638525883652
