,0
0,0.012848799062706147
1,0.013269918765703858
2,0.013251567626304308
3,0.013766663931828304
4,0.021388850503696624
5,0.02164852150041105
6,0.022008206077549615
7,0.022339490403228867
8,0.02897565850277564
9,0.027219791791540077
10,0.027206189953175083
11,0.028079642026153224
12,0.03639211963747944
13,0.04284255001934677
14,0.051436856731668375
15,0.05796301223774861
16,0.06152501664953652
17,0.06817595775707881
18,0.07426963459332385
19,0.08117314749623632
20,0.08469201194614724
21,0.08964633968585628
22,0.09466048219175505
23,0.09974267841119627
24,0.1015688803740464
25,0.10385530196538731
26,0.10743648516985772
27,0.10877907507965874
28,0.11274511643345032
29,0.11502764141376763
30,0.11606862690462746
31,0.1173274074158431
32,0.11928175547505436
33,0.11936900607233963
34,0.11944408040135854
35,0.11966445441646328
36,0.12206936502041156
37,0.1195391836115868
38,0.11894235357601016
39,0.1188179039006373
