,0
0,0.006587187157732932
1,0.009956663887662365
2,0.020951628986644155
3,0.017974890883232286
4,0.03419309172347301
5,0.052720007192716856
6,0.05443115426740475
7,0.06953103493371299
8,0.09399190819479314
9,0.11284668072515819
10,0.1537451163094845
11,0.16629777843166083
12,0.22034451473689443
13,0.2611052588560322
14,0.3037543524103773
15,0.3148926487175724
16,0.34152127572621815
17,0.3558923217759452
18,0.3310473574943187
19,0.33849897830742326
20,0.3104653687084171
21,0.3344872247560209
22,0.3321185326859878
23,0.31577547283932483
24,0.33080811796053733
25,0.3246884736730242
26,0.32616796625962285
27,0.35560031386395907
28,0.3402222385693038
29,0.3396352148823828
30,0.3322764618377386
31,0.3548567505271931
32,0.35977042159122374
33,0.32653871806188894
34,0.33330778284537144
35,0.3598295489840284
36,0.36195785722459217
37,0.3705493600117693
38,0.38505719843721786
39,0.3853290830922138
