,0
0,0.004042909524090321
1,0.0037318873349966512
2,0.003247864244935035
3,0.0035947057773007083
4,0.008639885873119958
5,0.008017721274138622
6,0.008700039085436099
7,0.010901105998612557
8,0.018412660873772333
9,0.024686820038204403
10,0.033601546692568096
11,0.04430701645369205
12,0.053688190472028975
13,0.059769855958272396
14,0.06387520000636704
15,0.06805489307633843
16,0.07426162609594632
17,0.0752587666417364
18,0.07699217741881179
19,0.08139842105115142
20,0.08373168024105117
21,0.0828013008690223
22,0.0836402746350818
23,0.08617044770817199
24,0.08795617129020127
25,0.08828122598301903
26,0.08828801708378345
27,0.08783293483254581
28,0.08958860093214212
29,0.0896141660820697
30,0.08937125961606932
31,0.08991694834874275
32,0.09119382585527075
33,0.09047497026682692
34,0.08892645717859804
35,0.08810877567664659
36,0.08913092795267225
37,0.09122563220269742
38,0.09201654927922397
39,0.0907137207079877
