,0
0,0.008532195118651997
1,0.008532195118651997
2,0.008532195118651997
3,0.006233344543939312
4,0.008532195118651997
5,0.008532195118651997
6,0.015428746842789942
7,0.026922999716353146
8,0.03841725258991635
9,0.05221035603819224
10,0.06370460891175544
11,0.059106907762330185
12,0.0683023100611807
13,0.06600345948646802
14,0.07519886178531865
15,0.07979656293474391
16,0.08439426408416928
17,0.08899196523359454
18,0.0935896663830198
19,0.09129081580830711
20,0.0935896663830198
21,0.09129081580830711
22,0.09588851695773248
23,0.10048621810715774
24,0.10048621810715774
25,0.10278506868187032
26,0.11657817213014621
27,0.11887702270485889
28,0.12577357442899684
29,0.1280724250037094
30,0.13267012615313478
31,0.13267012615313478
32,0.13956667787727262
33,0.13726782730256004
34,0.13726782730256004
35,0.15106093075083593
36,0.14876208017612325
37,0.14646322960141056
38,0.13956667787727262
39,0.13496897672784736
