,0
0,0.0030976502530516287
1,0.004789697630378193
2,0.009865839762357886
3,0.0064817450077047575
4,0.009865839762357886
5,0.013249934517011022
6,0.018326076648990712
7,0.026786313535623538
8,0.03863064517690949
9,0.0623193084594814
10,0.06401135583680798
11,0.08262387698740019
12,0.08939206649670645
13,0.10800458764729867
14,0.10631254026997211
15,0.12661710879789087
16,0.12830915617521746
17,0.13676939306185026
18,0.14861372470313622
19,0.1553819142124425
20,0.15199781945778937
21,0.16384215109907532
22,0.17061034060838157
23,0.16722624585372844
24,0.17061034060838157
25,0.17230238798570813
26,0.1790705774950144
27,0.19091490913630035
28,0.19429900389095348
29,0.1993751460229332
30,0.20445128815491287
31,0.20445128815491287
32,0.2129115250415457
33,0.21798766717352538
34,0.2129115250415457
35,0.21121947766421914
36,0.2129115250415457
37,0.20952743028689258
38,0.19599105126828004
39,0.18583876700432067
