,0
0,0.07986143347860752
1,0.08682176587225376
2,0.09337434289099156
3,0.10176294041776113
4,0.12999954936148106
5,0.13675364968420445
6,0.13612357268388242
7,0.13146805872862366
8,0.132722047279621
9,0.12238535757722524
10,0.11363935566496575
11,0.12204942949886977
12,0.10804876034287203
13,0.11273686310340625
14,0.10514095144710323
15,0.1031620995751743
16,0.12991435541503726
17,0.12725434166261518
18,0.1240234346225344
19,0.1287677445630918
20,0.13669025610233176
21,0.14051152851389748
22,0.13755975002529974
23,0.13532996259886643
24,0.13710087619978806
25,0.13607679016288676
26,0.12396316679044705
27,0.12391123250983227
28,0.1148891791530039
29,0.11375500333720245
30,0.11084196786770872
31,0.11300865630993895
32,0.10626785152259921
33,0.10998880931700783
34,0.112134814947501
35,0.10071212861729761
36,0.0941315560505308
37,0.09805415635821468
38,0.10717938535514926
39,0.11430515790807794
