,0
0,0.0014986889772727816
1,0.0014986889772727816
2,0.0017799995473173763
3,0.0017799995473173763
4,0.0017799995473173763
5,0.008337376596497706
6,0.008337376596497706
7,0.014894753645678036
8,0.02473081921944853
9,0.05423901594076
10,0.08374721266207148
11,0.09686196676043213
12,0.10997672085879279
13,0.11981278643256327
14,0.13292754053092393
15,0.14276360610469443
16,0.15915704872764525
17,0.16899311430141575
18,0.16899311430141575
19,0.17882917987518623
20,0.18866524544895671
21,0.19850131102272722
22,0.2083373765964977
23,0.21489475364567806
24,0.21489475364567806
25,0.21817344217026818
26,0.22145213069485836
27,0.21817344217026818
28,0.22800950774403866
29,0.23128819626862884
30,0.22473081921944854
31,0.22473081921944854
32,0.22145213069485836
33,0.21817344217026818
34,0.21161606512108788
35,0.2083373765964977
36,0.21817344217026818
37,0.19522262249813704
38,0.1919439339735469
39,0.19850131102272722
