,0
0,0.0004929682092147808
1,0.0056058989380560545
2,0.008810217622528656
3,0.02112020732386758
4,0.03599044419307462
5,0.046924313281896085
6,0.06353914335398687
7,0.07527424828214953
8,0.08269770896996528
9,0.0690463608583343
10,0.05179563066637384
11,0.04725245226317282
12,0.044671168813627954
13,0.04433046884232897
14,0.03792941196333022
15,0.03562784690449258
16,0.024221016022015124
17,0.01919751481487761
18,0.02221193294052115
19,0.015025712886832965
20,0.007258648342928664
21,0.001295233914672983
22,0.009464976110482748
23,0.014540375816717216
24,0.014857574580878247
25,0.018190846009690703
26,0.02128518849926564
27,0.01805593354831067
28,0.02782402795833236
29,0.03124483800712452
30,0.025279633975452326
31,0.025431024294710253
32,0.02187427191842073
33,0.01862133004676561
34,0.012292583275649027
35,0.009059208860224571
36,0.019462730664685207
37,0.002041127112492297
38,0.005129290405362058
39,0.0016701051814081158
