,0
0,0.024448909515766743
1,0.028104388662520338
2,0.034103512284780535
3,0.04178856428661027
4,0.06680256672452432
5,0.08446345692030542
6,0.09746474444910182
7,0.10426246214128196
8,0.1020611503616091
9,0.09709840761508569
10,0.09828668617851878
11,0.10545784022731129
12,0.10371277068992776
13,0.1089962128086187
14,0.11832178413756199
15,0.12409622125559733
16,0.12763886417570824
17,0.13424390508850215
18,0.14046849396735378
19,0.1445783987767927
20,0.1508450643183355
21,0.15061878704061565
22,0.1563869406738176
23,0.1561180670180973
24,0.1695027736918779
25,0.1802155500437938
26,0.17886961653605676
27,0.18384959391236277
28,0.19282131689870155
29,0.19261760046222515
30,0.19351779573164077
31,0.19690501941301372
32,0.20156407010864072
33,0.20346496079259418
34,0.208330433236554
35,0.2134761336926945
36,0.21539549202266858
37,0.21250920143261876
38,0.21107687586827711
39,0.21053626206925669
