,0
0,0.03409322979806484
1,0.0691703844344479
2,0.09508058312295498
3,0.10078043745852061
4,0.10579499485848964
5,0.11750629427789272
6,0.1362568985456708
7,0.15640103707368347
8,0.179824921180462
9,0.20828887347517344
10,0.22939634227204597
11,0.23237462989215196
12,0.2512796884295584
13,0.26054837087105054
14,0.28145477456608037
15,0.2959302766569729
16,0.31389914737350644
17,0.3345733537071053
18,0.3561323909923948
19,0.3717204770822634
20,0.3938330440685667
21,0.4128978690881838
22,0.4404009199690545
23,0.4697056404475508
24,0.49644285358231643
25,0.5266025840551003
26,0.5689857110209848
27,0.6007159046743108
28,0.6383917436174963
29,0.6731607906777283
30,0.7127853401433463
31,0.7509475715886588
32,0.7967913404792204
33,0.8293561705056278
34,0.8561877452436535
35,0.8891074725608716
36,0.8994595290258013
37,0.9054662131715094
38,0.9041715294807806
39,0.9035779789603989
