,0
0,0.00643915419301204
1,0.007750340287279432
2,0.009959731344805055
3,0.013222421793311458
4,0.017058152429857688
5,0.02023524709610518
6,0.026665681435115943
7,0.035096124497630186
8,0.05588793831688782
9,0.08431953984289661
10,0.10729307040397246
11,0.1265057649634754
12,0.1508274464485854
13,0.17297458760308168
14,0.19141272689474959
15,0.21041112514690613
16,0.2206005533283494
17,0.23253178608605493
18,0.2420731182317899
19,0.2477684914620181
20,0.25331639444340304
21,0.25427535468684276
22,0.2634605397442568
23,0.2720615908203402
24,0.27571821535093766
25,0.28086120445269663
26,0.28214051122880723
27,0.2828869259201324
28,0.284494390316626
29,0.2896773779078862
30,0.2905051802531068
31,0.29554755206222305
32,0.2953921346533788
33,0.29838035673202046
34,0.29962933792275864
35,0.29727257406094915
36,0.29784887198941806
37,0.29610313274838795
38,0.29147091603147846
39,0.28714395240376883
