,0
0,0.0046352754729673115
1,0.010481264285259315
2,0.017043413847486064
3,0.025228106910526443
4,0.034635989570312074
5,0.045504046814255794
6,0.05700719209248926
7,0.0687910788896337
8,0.08596819045815852
9,0.10656439308762329
10,0.12911626515545183
11,0.15413535622689795
12,0.17302917125404269
13,0.19108557598892792
14,0.20660239743179304
15,0.218617793548347
16,0.22805381806922878
17,0.23450778856476412
18,0.24045596171860223
19,0.24668374493819772
20,0.247728161289615
21,0.24939049442882621
22,0.25197616721474253
23,0.2548802922359732
24,0.2545883673610195
25,0.25645201896924774
26,0.25632532137231256
27,0.2571067531824345
28,0.2576032266883484
29,0.2592589197066271
30,0.2601028513143209
31,0.26199913930502644
32,0.26329574086331026
33,0.26508249263903666
34,0.2663097719308976
35,0.26830018128451577
36,0.26951579378053686
37,0.27594572433197356
38,0.28072474011247656
39,0.28273317673439846
