,0
0,0.0033988240623661764
1,0.006862558509447554
2,0.010876807631393402
3,0.015987129474333266
4,0.02198889600610258
5,0.029864980840700675
6,0.03901420982004919
7,0.04857740411614254
8,0.06417779606627044
9,0.08188791237337337
10,0.10564910935375277
11,0.1327950226789825
12,0.15639308461716214
13,0.1811584370345018
14,0.2063631360474619
15,0.22832601799031615
16,0.24880095759843898
17,0.26888138708098863
18,0.2878394094757097
19,0.3056799111378755
20,0.31550609125030654
21,0.3223130151526012
22,0.3274138044317966
23,0.3311852307290684
24,0.3325655659270408
25,0.33426267974878243
26,0.3346602327035415
27,0.33532396561098216
28,0.3358219226328245
29,0.33507848084327174
30,0.3347386374398579
31,0.33422140975292
32,0.3337361974198759
33,0.33242588343867474
34,0.33038820583857453
35,0.33032610140656116
36,0.3282484380538999
37,0.3298645947173329
38,0.3308723894569047
39,0.3311431863354892
