,0
0,0.007920033996677043
1,0.008304089456715283
2,0.010866048421791858
3,0.012727038309463548
4,0.023474194303307307
5,0.030980532399652795
6,0.035290037957976625
7,0.040899991442886
8,0.051805947299962206
9,0.0578308984669949
10,0.06439516233016757
11,0.07773010398518262
12,0.08765926407783778
13,0.08897394161034249
14,0.08268460673521702
15,0.0768158942942184
16,0.08446432050542076
17,0.08249592572470968
18,0.08007428254207109
19,0.08208193407716985
20,0.08563259414998924
21,0.08604496547557659
22,0.08624622712394965
23,0.08699705336571288
24,0.09568426717570407
25,0.09766905794222529
26,0.09953337623574908
27,0.10602188088546126
28,0.10988433791935377
29,0.1095414509751844
30,0.11185259722673203
31,0.11593202994730029
32,0.12350458843483152
33,0.12698983209514542
34,0.129129725993002
35,0.12837399986629183
36,0.12848484493983767
37,0.12129648515780045
38,0.11293820520431348
39,0.10921927124021232
