,0
0,0.0037115845339006945
1,0.0037573325695315356
2,0.0033230244658091425
3,0.003864019119415579
4,0.008092320406197125
5,0.008171365229005625
6,0.008874728730117985
7,0.011068973526065732
8,0.02054201381776735
9,0.025309023233397187
10,0.032982400569290325
11,0.04508404834210258
12,0.05665304477635785
13,0.06283557384101324
14,0.06705232800222156
15,0.07032135319474107
16,0.07737421008949315
17,0.07819851739994388
18,0.0781842420384828
19,0.08049774626752705
20,0.08461738702760754
21,0.08423853210640322
22,0.08453232956401147
23,0.08571584769673157
24,0.08934920341849457
25,0.08979711186202931
26,0.08960311184126703
27,0.08903071122620371
28,0.0925276671214748
29,0.09211923969349128
30,0.09144316400023758
31,0.09160052702293114
32,0.09425052318477121
33,0.09303331464466408
34,0.09111753084035791
35,0.09067081636442674
36,0.09267322666232648
37,0.09475727374199039
38,0.09547763611302841
39,0.09510745937223426
