,0
0,0.004296900115138183
1,0.006342935683158451
2,0.007060227187605683
3,0.017753274452615715
4,0.02252317705962259
5,0.027514075063005114
6,0.030848409079153934
7,0.030207757694668783
8,0.025711121582843735
9,0.008961258515992956
10,0.013890065277994385
11,0.0012656130060528376
12,6.0474005245725326e-05
13,0.013256576788405278
14,0.006423435084105755
15,0.02183777033374998
16,0.01870139444943411
17,0.022271189441535666
18,0.029148457417431606
19,0.030979922025538537
20,0.022669369269748635
21,0.029557917424668317
22,0.03138994827690059
23,0.02312043331903854
24,0.02166941419067317
25,0.018496530461432348
26,0.02042373503020975
27,0.027427111533289222
28,0.026014060563645774
29,0.026261347300308407
30,0.026577700919104497
31,0.021827419346762578
32,0.025632503674115015
33,0.02606626354195743
34,0.016488644526089502
35,0.010328975703107118
36,0.007703501031483484
37,5.5975443013833726e-05
38,0.01754699007004451
39,0.031726238640835236
