,0
0,0.012861106480194392
1,0.03871296082818362
2,0.08027584023134444
3,0.12522276123222245
4,0.1450502797658443
5,0.13533503965483196
6,0.11184658268860552
7,0.10051474121710796
8,0.10206791922100925
9,0.11495387637255912
10,0.14899065879718193
11,0.19862511666641508
12,0.23506845328024106
13,0.2519632725852827
14,0.24940234023786934
15,0.2319351075085195
16,0.21776702636870357
17,0.20259383075044443
18,0.19127816237445447
19,0.17450067556136295
20,0.16253752127040857
21,0.15515760261946407
22,0.15129030183183925
23,0.14071015653466132
24,0.13555001563132976
25,0.1363191967747941
26,0.13057512877378757
27,0.13075664300922665
28,0.126402628961404
29,0.1271661772620381
30,0.12514395976179404
31,0.1277669068653077
32,0.1236353943288827
33,0.12421854425174468
34,0.12450774555945032
35,0.1221819482900667
36,0.12054203942101353
37,0.11606757725940789
38,0.11367189890719738
39,0.11248023100396651
