,0
0,0.0021029012613609163
1,0.009039879810126099
2,0.013438735193893561
3,0.02188753340332235
4,0.03097162026850904
5,0.034029493151140996
6,0.04406122308774073
7,0.04772544657109214
8,0.048170869296691454
9,0.02893069022503056
10,0.009575749860435231
11,0.0062942720338946545
12,0.0026037722337441394
13,0.0017542691504369157
14,0.00287832676387223
15,0.004880643281780311
16,0.014112543131484356
17,0.017429246374818158
18,0.011576636502000165
19,0.01628777550869301
20,0.021689866458783374
21,0.02770862706371996
22,0.03434295463757436
23,0.03831807966115047
24,0.036288437198420065
25,0.038004291936999446
26,0.04018452646302395
27,0.036251498148089534
28,0.045806825844967924
29,0.0491019950538385
30,0.042866244667866205
31,0.04347069537053344
32,0.04101708414124661
33,0.038723392173892146
34,0.033330451465043875
35,0.03138179588513296
36,0.042662365123873836
37,0.021223894103628682
38,0.01955268324398604
39,0.027810849029509754
