,0
0,0.1514543540894039
1,0.3313313599616762
2,0.4776553173386861
3,0.5100264286711103
4,0.5397973107913183
5,0.5952577579116064
6,0.6223167772330935
7,0.6524050325628311
8,0.6920227301972253
9,0.7260483640526968
10,0.8034467947861504
11,0.8403330934899194
12,0.8998491324129558
13,0.9426793418233357
14,0.9919133477267764
15,1.0142981786103475
16,1.0530408419786936
17,1.0719087902042599
18,1.0465888177591656
19,1.0549692166230034
20,1.0286857348585885
21,1.0587883322011855
22,1.0603093533288863
23,1.0455687140661571
24,1.0593241706253989
25,1.0541686070343803
26,1.056668209887686
27,1.0875710071552367
28,1.073321614473585
29,1.072001356690649
30,1.063290316197607
31,1.0855416031110854
32,1.0897747848242048
33,1.055631297684851
34,1.060987170253481
35,1.0867306190350698
36,1.088557628175569
37,1.0962436028889246
38,1.109907588551915
39,1.1100377054914596
