,0
0,0.007976324916842525
1,0.014958817192845753
2,0.0184274062762656
3,0.0235336718870216
4,0.022796098346295257
5,0.023307941806646082
6,0.017807888537708205
7,0.01088418149318715
8,0.003225150040840452
9,0.0053805177740681165
10,0.01275839577636495
11,0.005003125110975448
12,0.011795849757920251
13,0.008187009481869678
14,0.015164080163829974
15,0.017881245782875865
16,0.02110510553168321
17,0.02435471193342653
18,0.028010085585426725
19,0.02550835138558205
20,0.02731286622394069
21,0.02452379937734339
22,0.027605537601949726
23,0.031404062644269204
24,0.03120735821584464
25,0.033557702096426834
26,0.047311670632241176
27,0.04975882192785985
28,0.0568376599547783
29,0.05940221598778184
30,0.06410496348118255
31,0.06430784710631277
32,0.07114054713117257
33,0.06866661931650164
34,0.06865735052144528
35,0.0820611645773418
36,0.07973759721581164
37,0.07751598659990455
38,0.07075331747102842
39,0.06650165133705055
