,0
0,0.009330670870317751
1,0.010337833012662525
2,0.012342066161856454
3,0.013034873005113612
4,0.02305748046911242
5,0.026548249619279398
6,0.027459877450400474
7,0.02994543579832285
8,0.040106973506160964
9,0.043906823632605216
10,0.047273451369161654
11,0.05684477684325182
12,0.06416273179402743
13,0.06621092565057482
14,0.06200808351211143
15,0.05512283242421735
16,0.05988217972627402
17,0.05648121149526477
18,0.05476431697755611
19,0.05753452202860444
20,0.05737019905990233
21,0.05747480575171989
22,0.060044707369880185
23,0.05760400465027177
24,0.06281592295540998
25,0.06621372522677836
26,0.06771570470955232
27,0.07275809978200042
28,0.07276354699115319
29,0.07499009465679161
30,0.07512113468463666
31,0.07975217789801453
32,0.08294475336673743
33,0.08795451157744412
34,0.09485106451396058
35,0.09710437426957137
36,0.09720532006145781
37,0.09178165365656296
38,0.08758653442027818
39,0.08648737953429902
