,0
0,0.003854468982482262
1,0.0037958187168823376
2,0.0049269374705030455
3,0.0032194119995819226
4,0.010005491623945428
5,0.011003782131543266
6,0.012137464589748403
7,0.013085180556254294
8,0.021933166476769184
9,0.021386385382499318
10,0.024565792180658352
11,0.03409467951421463
12,0.049711940778420755
13,0.05220066244436561
14,0.05513770044598859
15,0.062002255928930494
16,0.07433958857128203
17,0.07801669344845649
18,0.07491517854415305
19,0.08018624643793126
20,0.08653372528371508
21,0.08620630206880267
22,0.08549357882404188
23,0.0906307590796343
24,0.09306611404847148
25,0.09314170763920787
26,0.09380443678330425
27,0.09042933514976362
28,0.09595152878884641
29,0.09456942232665713
30,0.09755253260411426
31,0.10004347242849981
32,0.10584977976234419
33,0.10430407345140763
34,0.10277475026234467
35,0.10150555734910174
36,0.10502509382351716
37,0.10410757646988872
38,0.10680442799023143
39,0.10983010413949787
