,0
0,0.004293823859776093
1,0.008743892023234159
2,0.01711283899004791
3,0.02304806174211594
4,0.03161019005295842
5,0.04239167577313111
6,0.05152429222448494
7,0.06570672897088253
8,0.08422837122284198
9,0.10468472074660716
10,0.1294126109119857
11,0.1403132565274345
12,0.1546360936603499
13,0.16837957516741572
14,0.18169981212818268
15,0.18831241061476303
16,0.18422844268086505
17,0.1836583986009925
18,0.1782748382428603
19,0.16799045414351496
20,0.15775602428722843
21,0.15857981557436338
22,0.15593567247544643
23,0.15260835742227255
24,0.1487527641424575
25,0.144752218246531
26,0.14515725473549632
27,0.1497591918956874
28,0.144262195309856
29,0.1384679629247687
30,0.1381726554891661
31,0.14299980192128653
32,0.14337712408084646
33,0.13839509406842485
34,0.13437290178894892
35,0.1353724278500807
36,0.14117017138190704
37,0.14970825483922748
38,0.1518991689966836
39,0.1549140379036973
