,0
0,0.0034222987413120793
1,0.01104439563592159
2,0.02114325598430558
3,0.033588663590696566
4,0.04873087181188882
5,0.06576617283948705
6,0.08098317066847342
7,0.09616055538428704
8,0.10815608413258904
9,0.11676585174982208
10,0.12697623838944694
11,0.1343180414215284
12,0.13805464561608674
13,0.1344407753481387
14,0.12417403636998463
15,0.11763834002791473
16,0.10673943740152278
17,0.09759365406707524
18,0.08680731167718356
19,0.08339296228361454
20,0.08215768007367279
21,0.08241418737767728
22,0.08817557554052405
23,0.08311724024968321
24,0.08061981905983648
25,0.08770865730802259
26,0.09533032820308504
27,0.10009297240917749
28,0.11411070543670933
29,0.1276972068688149
30,0.13602816339976914
31,0.15021005979953067
32,0.16049841720970076
33,0.1697937107283778
34,0.1779175819159639
35,0.1823188497475653
36,0.1841038930381273
37,0.17819154839031917
38,0.17747678869579012
39,0.1748625293998463
